,,Day0,Day3,Day5,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24
Y253H,10ul virus,720000,930000,680000,630000,900000,1340000,2380000,6240000,10960000,16080000,34560000,64000000,166400000,268800000,512000000,,,,,,
Y253H,10ul virus,690000,1180000,1110000,780000,840000,1920000,2500000,5920000,10960000,18240000,35840000,72320000,126720000,267520000,496640000,,,,,,
Y253H,1ul virus,780000,770000,830000,530000,500000,500000,880000,1380000,2620000,4080000,5920000,11440000,21760000,39360000,94720000,192000000,473600000,,,,
G250E,1ml virus,750000,1460000,2500000,3420000,7360000,13280000,15760000,37120000,53120000,164480000,206080000,239360000,414720000,,,,,,,,
G250E,1ml virus,1110000,1440000,1760000,3020000,6280000,11680000,26880000,43840000,76800000,170240000,252160000,419840000,,,,,,,,,
G250E,100ul virus,630000,700000,870000,1150000,2260000,3680000,7840000,11920000,29120000,72640000,117120000,261120000,275200000,345600000,,,,,,,
G250E,100ul virus,740000,1330000,1004000,1320000,2580000,3740000,6800000,13280000,29440000,48960000,85760000,158720000,325120000,,,,,,,,
G250E,10ul virus,730000,820000,690000,680000,920000,2060000,2940000,8080000,10400000,22400000,41920000,91520000,243200000,455680000,,,,,,,
G250E,10ul virus,840000,850000,900000,870000,800000,1900000,2420000,5920000,8720000,13920000,40960000,58560000,136960000,259840000,399360000,,,,,,
V299L,1ml virus,1340000,1626000,2260000,1680000,1560000,3880000,5840000,11680000,31360000,43840000,72320000,138880000,280320000,,,,,,,,
V299L,1ml virus,860000,940000,950000,860000,1760000,3240000,6320000,13280000,16320000,27840000,54720000,136320000,231680000,,,,,,,,
V299L,100ul virus,1090000,1720000,1310000,1180000,900000,800000,1180000,1340000,2700000,3500000,5120000,6000000,8400000,17280000,42240000,75520000,95360000,179200000,,,
V299L,100ul virus,630000,1000000,650000,550000,580000,780000,1340000,2040000,2340000,4360000,5760000,13280000,27200000,41920000,104960000,215040000,432640000,,,,
T315I,1ml virus,1120000,1650000,3260000,5380000,7680000,10000000,18240000,27840000,60800000,90240000,160000000,304640000,473600000,,,,,,,,
T315I,1ml virus,1210000,1610000,2940000,4080000,8960000,16000000,26240000,59840000,69120000,200960000,244480000,424960000,,,,,,,,,
T315I,100ul virus,880000,1320000,920000,1770000,3160000,4740000,10320000,14560000,26560000,61120000,83200000,111360000,280320000,440320000,,,,,,,
T315I,100ul virus,1230000,1470000,1290000,1940000,3960000,5200000,7840000,12720000,34240000,45440000,106880000,178560000,249600000,488960000,,,,,,,
T315I,10ul virus,920000,1180000,830000,980000,900000,1420000,2100000,3200000,4320000,9680000,10880000,19520000,39040000,66560000,128000000,245760000,,,,,
T315I,10ul virus,890000,1610000,840000,1140000,1780000,2440000,2940000,9360000,15120000,16400000,42560000,72960000,130560000,230400000,414720000,,,,,,
T315I,1ul virus,1200000,980000,1000000,890000,1040000,1300000,2580000,3240000,7920000,11360000,23760000,58880000,79360000,211200000,262400000,455680000,,,,,
F317L,1ml virus,910000,1530000,2240000,3840000,8720000,11040000,24000000,53120000,113920000,175360000,280320000,550400000,,,,,,,,,
F317L,1ml virus,1370000,1720000,2570000,4860000,7920000,15200000,36160000,73920000,91520000,176640000,281600000,609280000,,,,,,,,,
